Hurguada								
 27.15         33.717        14            2 								
								
 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
342	1012	8.9	57	0	0	1	4.9	335
343	1012	8.9	50	0	1	0	5.1	328
344	1012	10.2	45	96	41	0	5.7	355
345	1012	12	44	293	49	0	5.3	355
346	1012	13.7	40	473	53	0	5.3	350
347	1012	15.3	36	596	63	0	4.7	358
348	1012	16.6	34	657	70	0	4.4	349
349	1012	17.5	33	650	69	0	4.2	39
350	1012	17.9	31	579	62	0	4.9	26
351	1012	17.9	33	449	52	0	6.2	338
352	1012	17.3	32	261	47	0	7.4	357
353	1012	16.1	36	71	34	0	7.4	357
354	1012	14.8	37	0	0	0	7.8	339
355	1012	14.2	40	0	0	0	8.6	347
356	1012	13.6	42	0	0	0	8.6	12
357	1012	13	46	0	0	0	8.2	7
358	1012	12.4	48	0	0	0	8.2	352
359	1012	11.8	52	0	0	0	8.2	4
360	1012	11.2	52	0	0	0	7.1	11
361	1012	10.9	54	0	0	0	6.6	355
362	1012	10.6	53	0	0	0	6.8	350
363	1012	10.3	51	0	0	0	6.9	339
364	1012	10.2	52	0	0	0	5.5	342
365	1012	10	56	0	0	0	4.4	6
366	1012	10	58	0	0	0	4.5	352
367	1012	10	64	0	1	0	5.1	336
368	1012	11.5	57	89	43	0	5.3	37
369	1012	13.5	48	266	60	0	5.1	14
370	1012	15.5	41	441	64	0	6.8	333
371	1012	17.3	38	555	76	0	6.6	7
372	1012	18.8	38	620	79	0	6.9	28
373	1012	19.9	34	623	75	0	7.4	40
374	1012	20.4	32	557	66	0	5.9	346
375	1012	20.5	29	435	53	0	6.4	12
376	1012	19.9	31	253	48	0	7.4	11
377	1012	18.8	35	69	36	0	6.6	325
378	1012	17.4	38	0	0	0	5.5	342
379	1012	16.8	45	0	0	0	6.2	42
380	1012	16.3	46	0	0	0	5.7	20
381	1012	15.7	48	0	0	0	4.5	354
382	1012	15.1	51	0	0	0	3.9	58
383	1012	14.5	53	0	0	0	4.2	19
384	1012	14	54	0	0	0	4.4	329
385	1012	13.3	54	0	0	0	4.7	349
386	1011	12.7	56	0	0	0	4.9	1
387	1011	12.1	56	0	0	0	5.9	358
388	1011	11.7	55	0	0	0	5.7	6
389	1011	11.4	57	0	0	0	4.2	13
390	1011	11.2	64	0	0	0	3.8	351
391	1011	11.2	67	0	1	0	3.6	22
392	1011	12.5	63	76	48	0	4.2	13
393	1011	14.3	55	227	82	0	5.3	338
394	1011	16.1	50	389	95	0	6.4	350
395	1011	17.8	47	524	93	0	5.3	340
396	1011	19.1	41	578	102	0	6.6	358
397	1011	20	41	577	98	0	6.6	340
398	1011	20.5	39	514	88	0	7.1	350
399	1011	20.6	36	399	70	0	8.4	21
400	1011	20	36	234	58	0	8.4	356
401	1011	18.9	37	58	43	0	8.2	344
402	1011	17.6	42	0	0	0	7.1	348
403	1011	17	47	0	0	0	6.6	352
404	1011	16.4	47	0	0	0	5.3	29
405	1011	15.8	49	0	0	0	5.1	345
406	1011	15.2	50	0	0	0	5.9	351
407	1011	14.6	55	0	0	0	6.4	6
408	1011	14	55	0	0	0	6.2	354
409	1011	13.5	61	0	0	0	5.7	5
410	1011	12.9	62	0	0	0	5.1	353
411	1011	12.4	69	0	0	0	5.9	8
412	1011	12.2	72	0	0	0	4.1	18
413	1011	11.9	74	0	0	0	3.5	78
414	1011	11.7	74	0	0	0	4.2	31
415	1011	11.7	71	0	1	0	3.5	355
416	1011	13.1	63	85	45	0	4.1	23
417	1012	15	54	246	72	0	4.4	344
418	1012	16.9	44	413	80	0	4.2	344
419	1012	18.6	38	527	93	0	5.9	33
420	1012	19.9	34	585	100	0	7.6	12
421	1012	20.9	31	584	97	0	7.8	321
422	1012	21.4	29	520	86	0	7.4	351
423	1012	21.5	28	393	75	0	7.9	10
424	1012	20.9	30	232	60	0	9	321
425	1012	19.7	32	63	39	0	8.4	337
426	1012	18.5	36	0	0	0	8.4	352
427	1012	17.9	40	0	0	0	7.9	326
428	1012	17.3	40	0	0	0	8.2	345
429	1012	16.7	43	0	0	0	7.9	333
430	1012	16.1	44	0	0	0	8.2	9
431	1012	15.5	47	0	0	0	8.6	343
432	1012	15	52	0	0	0	8.6	5
433	1012	14.4	52	0	0	0	9	326
434	1012	13.9	53	0	0	0	7.9	340
435	1012	13.4	58	0	0	0	7.8	356
436	1012	13.1	56	0	0	0	7.8	3
437	1012	12.9	56	0	0	0	7.6	329
438	1012	12.7	58	0	0	0	7.1	336
439	1012	12.7	59	0	1	0	7.9	328
440	1012	14.1	54	86	45	0	7.8	351
441	1012	16.1	47	265	62	0	8.4	354
442	1012	18	35	436	69	0	9.2	352
443	1012	19.8	31	552	81	0	9.5	1
444	1012	21.2	29	608	89	0	11.4	340
445	1012	22.1	27	604	88	0	12.2	17
446	1012	22.7	25	541	78	0	10.9	5
447	1012	22.7	26	415	66	0	10.9	352
448	1012	22.1	27	239	59	0	10.2	344
449	1012	21	29	66	39	0	9.9	3
450	1012	19.7	33	0	0	0	10.5	356
451	1012	19	38	0	0	0	9.9	341
452	1012	18.3	41	0	0	0	10.2	1
453	1012	17.6	40	0	0	0	9.5	324
454	1012	16.9	43	0	0	0	9	347
455	1012	16.2	46	0	0	0	9.5	8
456	1012	15.5	45	0	0	0	9.3	331
457	1012	14.9	48	0	0	0	8.9	345
458	1012	14.2	52	0	0	0	8.9	349
459	1012	13.5	54	0	0	0	8.9	339
460	1012	13.1	54	0	0	0	8.4	320
461	1012	12.8	54	0	0	0	6.9	325
462	1012	12.5	55	0	0	0	7.1	6
463	1012	12.5	60	0	1	0	6.6	36
464	1012	13.9	53	83	46	0	7.1	336
465	1012	15.7	47	260	66	0	8.4	21
466	1012	17.6	41	424	76	0	8.2	352
467	1012	19.3	39	556	81	0	8.6	348
468	1012	20.7	38	613	88	0	8.6	21
469	1012	21.6	35	609	88	0	8.9	16
470	1012	22.1	34	534	83	0	9.7	12
471	1012	22.2	33	413	69	0	10.2	356
472	1012	21.5	34	236	62	0	10.9	357
473	1012	20.4	35	66	40	0	12.2	335
474	1012	19.1	39	0	0	0	10.9	328
475	1012	18.5	46	0	0	0	9.2	342
476	1012	17.9	52	0	0	0	7.9	327
477	1012	17.3	53	0	0	0	7.8	352
478	1012	16.6	54	0	0	0	7.1	339
479	1012	16	57	0	0	0	6.2	350
480	1012	15.4	65	0	0	0	5.5	321
481	1011	14.9	64	0	0	0	6.2	48
482	1011	14.4	70	0	0	0	6.8	10
483	1011	13.9	74	0	0	0	7.6	22
484	1011	13.6	73	0	0	0	8.2	338
485	1011	13.4	75	0	0	0	7.9	19
486	1011	13.2	77	0	0	0	7.9	358
487	1011	13.2	76	0	2	0	7.9	335
488	1011	14.7	74	82	47	0	8.6	339
489	1011	16.5	65	232	81	0	9.3	360
490	1011	18.4	53	389	97	0	10.2	322
491	1011	20.1	45	503	112	0	10.2	3
492	1011	21.4	37	556	122	0	12.5	320
493	1011	22.4	36	553	121	0	15.1	360
494	1011	22.9	34	516	95	0	15.1	340
495	1011	23	35	392	85	0	14.2	330
496	1011	22.4	35	219	73	0	13.5	352
497	1011	21.3	36	62	42	0	13.8	322
498	1011	20	39	0	0	0	12.5	19
499	1011	19.4	46	0	0	0	11.8	337
500	1011	18.8	48	0	0	0	10.9	359
501	1011	18.2	47	0	0	0	10.9	345
502	1011	17.6	51	0	0	0	9.9	319
503	1011	16.9	53	0	0	0	11.4	341
504	1011	16.3	56	0	0	0	10.9	13
505	1012	15.7	59	0	0	0	11.8	307
506	1012	15.2	62	0	0	0	9.9	6
507	1012	14.6	61	0	0	0	13	348
508	1012	14.3	65	0	0	0	10.9	14
509	1012	14	65	0	0	0	9.5	350
510	1012	13.8	67	0	0	0	9.3	348
511	1012	13.8	65	0	2	0	7.6	339
512	1012	15.3	61	89	45	0	7.6	339
513	1012	17.2	53	268	63	0	6.9	354
514	1012	19.2	46	456	63	0	7.4	42
515	1012	21	39	575	75	0	7.6	42
516	1012	22.5	34	635	82	0	6.9	12
517	1012	23.5	31	638	79	0	7.1	73
518	1012	24	30	566	72	0	7.1	24
519	1012	24.1	33	440	60	0	6.9	33
520	1012	23.5	34	256	57	0	8.2	19
521	1012	22.4	40	75	40	0	8.2	350
522	1012	21	43	0	1	0	8.9	348
523	1012	20.2	53	0	0	0	9.5	349
524	1012	19.4	53	0	0	0	8.4	354
525	1011	18.6	55	0	0	0	8.2	328
526	1011	17.9	56	0	0	0	7.1	354
527	1011	17.1	56	0	0	0	7.1	41
528	1011	16.3	60	0	0	0	6.9	10
529	1011	15.5	64	0	0	0	7.1	2
530	1011	14.7	68	0	0	0	6.2	22
531	1011	13.9	71	0	0	0	5.1	355
532	1011	13.5	76	0	0	0	5.9	94
533	1011	13.1	78	0	0	0	4.5	25
534	1011	12.8	74	0	0	0	4.7	37
535	1011	12.8	73	0	2	0	4.2	39
536	1011	14.2	63	89	46	0	3.9	359
537	1011	16	59	239	79	0	4.7	148
538	1011	17.8	50	397	98	0	5.1	29
539	1011	19.3	44	452	149	1	6.2	51
540	1011	20.5	38	473	176	2	5.1	356
541	1011	21.3	36	496	160	1	5.7	29
542	1011	21.7	36	423	153	2	5.7	55
543	1011	21.8	35	335	119	1	5.7	41
544	1011	21.2	36	200	91	2	4.9	37
545	1011	20.2	34	70	46	2	4.7	145
546	1011	19	36	0	1	1	3.6	138
547	1011	18.2	39	0	0	1	2.6	302
548	1011	17.3	39	0	0	1	2.1	317
549	1011	16.5	40	0	0	1	1.8	297
550	1011	15.6	42	0	0	1	1.2	317
551	1011	14.8	45	0	0	1	1.4	300
552	1011	13.9	50	0	0	1	1.4	311
553	1011	13.2	55	0	0	1	0.9	312
554	1011	12.4	56	0	0	1	0.7	295
555	1011	11.7	58	0	0	1	0.6	290
556	1011	11.3	60	0	0	0	0.4	308
557	1011	10.9	62	0	0	0	0.4	310
558	1011	10.6	62	0	0	0	1.1	297
559	1011	10.6	63	0	2	0	1.2	322
560	1011	12.1	59	94	45	0	1.5	285
561	1012	13.9	52	272	63	0	1.8	141
562	1012	15.8	43	429	79	0	1.9	146
563	1012	17.4	38	531	100	0	1.7	240
564	1012	18.8	35	582	113	0	1.4	325
565	1012	19.7	34	567	120	0	1.5	306
566	1012	20.1	34	518	101	0	1.9	311
567	1012	20.2	36	413	78	0	2.2	308
568	1012	19.6	37	247	64	0	2.6	255
569	1012	18.5	42	74	47	0	2.8	27
570	1012	17.3	47	0	1	0	2.5	20
571	1012	16.5	50	0	0	0	2.2	88
572	1012	15.8	55	0	0	0	2.2	183
573	1012	15.1	58	0	0	0	2.2	30
574	1012	14.4	63	0	0	0	2.2	40
575	1012	13.6	65	0	0	0	2.6	40
576	1012	12.9	69	0	0	0	2.3	16
577	1012	12.3	73	0	0	0	2.6	351
578	1012	11.7	72	0	0	0	1.9	358
579	1012	11.1	76	0	0	0	2.4	27
580	1012	10.8	77	0	0	0	1.8	37
581	1012	10.5	73	0	0	0	1.7	207
582	1012	10.2	74	0	0	0	1.8	27
583	1012	10.3	72	0	2	0	2.4	37
584	1012	11.8	63	105	41	0	2.4	355
585	1012	13.9	55	306	49	0	2.3	353
586	1012	15.9	46	485	56	0	2.8	36
587	1012	17.8	40	610	67	0	2.4	55
588	1012	19.2	37	669	75	0	2.8	152
589	1012	20.2	35	667	74	0	2.4	358
590	1012	20.8	32	599	66	0	2.8	236
591	1012	20.8	30	465	56	0	2.6	73
592	1012	20.2	33	274	53	0	2.6	150
593	1012	19	40	83	41	0	3.2	194
594	1012	17.6	45	0	1	0	3	39
595	1012	17	54	0	0	0	3	49
596	1012	16.5	56	0	0	0	2.4	59
597	1012	16	56	0	0	0	2.3	16
598	1012	15.4	59	0	0	0	2.2	58
599	1012	14.9	61	0	0	0	1.9	31
600	1012	14.4	67	0	0	0	2.2	30
601	1012	14	61	0	0	0	1.5	38
602	1012	13.6	70	0	0	0	1.7	146
603	1012	13.3	73	0	0	0	2.8	97
604	1012	13.1	70	0	0	0	3	358
605	1011	12.9	70	0	0	0	1.8	342
606	1011	12.8	73	0	0	0	1.5	38
607	1011	12.8	70	0	2	0	1.9	156
608	1011	14.3	61	81	51	0	2.1	21
609	1011	16.2	53	220	94	0	2.2	19
610	1011	18.1	41	364	118	0	2.8	6
611	1011	19.8	37	448	153	0	3.5	54
